"Cycle","Time","Iso","Sr88","Fish_id","Watershed","Year","Microns","Iso_MA","natal_iso"
543,284.532,0.715443662674873,0.609745731137557,"2015_yk_492","Yukon",2015,569.064,NA,0.714816926932094
544,285.056,0.716075759937272,0.620066086021699,"2015_yk_492","Yukon",2015,570.112,NA,0.714816926932094
545,285.58,0.71614295247074,0.637042745604906,"2015_yk_492","Yukon",2015,571.16,NA,0.714816926932094
546,286.104,0.715660783454213,0.635293232649202,"2015_yk_492","Yukon",2015,572.208,NA,0.714816926932094
547,286.628,0.715627963649718,0.644667686411809,"2015_yk_492","Yukon",2015,573.256,NA,0.714816926932094
548,287.152,0.714271789258709,0.653162957776813,"2015_yk_492","Yukon",2015,574.304,NA,0.714816926932094
549,287.676,0.716259594621062,0.643824730431192,"2015_yk_492","Yukon",2015,575.352,NA,0.714816926932094
550,288.2,0.715005082977732,0.628243631983005,"2015_yk_492","Yukon",2015,576.4,NA,0.714816926932094
551,288.724,0.712872050168874,0.637194769802341,"2015_yk_492","Yukon",2015,577.448,NA,0.714816926932094
552,289.248,0.715408857891675,0.645459389722829,"2015_yk_492","Yukon",2015,578.496,NA,0.714816926932094
553,289.772,0.715686958905043,0.654133900581736,"2015_yk_492","Yukon",2015,579.544,NA,0.714816926932094
554,290.296,0.715081364801101,0.636392305888737,"2015_yk_492","Yukon",2015,580.592,NA,0.714816926932094
555,290.82,0.716264685692934,0.635955941451384,"2015_yk_492","Yukon",2015,581.64,NA,0.714816926932094
556,291.344,0.713886078013915,0.656345942248604,"2015_yk_492","Yukon",2015,582.688,NA,0.714816926932094
557,291.868,0.714340181233222,0.654714604927555,"2015_yk_492","Yukon",2015,583.736,NA,0.714816926932094
558,292.392,0.714861469036508,0.648312619197685,"2015_yk_492","Yukon",2015,584.784,NA,0.714816926932094
559,292.916,0.715775258558532,0.653979850034919,"2015_yk_492","Yukon",2015,585.832,NA,0.714816926932094
560,293.44,0.713646278804278,0.683391089508918,"2015_yk_492","Yukon",2015,586.88,NA,0.714816926932094
561,293.964,0.714945826341788,0.671072681795177,"2015_yk_492","Yukon",2015,587.928,NA,0.714816926932094
562,294.488,0.71682069702371,0.657396984226135,"2015_yk_492","Yukon",2015,588.976,NA,0.714816926932094
563,295.012,0.715104083469988,0.673374871062878,"2015_yk_492","Yukon",2015,590.024,NA,0.714816926932094
564,295.536,0.714223053270679,0.686234743893451,"2015_yk_492","Yukon",2015,591.072,NA,0.714816926932094
565,296.06,0.71611824689904,0.66912901729463,"2015_yk_492","Yukon",2015,592.12,NA,0.714816926932094
566,296.584,0.71570801557776,0.662854274087571,"2015_yk_492","Yukon",2015,593.168,NA,0.714816926932094
567,297.108,0.714249289504066,0.685155682315655,"2015_yk_492","Yukon",2015,594.216,NA,0.714816926932094
568,297.632,0.715879693815809,0.682620468076796,"2015_yk_492","Yukon",2015,595.264,NA,0.714816926932094
569,298.156,0.714262961391856,0.64169355089087,"2015_yk_492","Yukon",2015,596.312,NA,0.714816926932094
570,298.68,0.715802554786532,0.62992141568946,"2015_yk_492","Yukon",2015,597.36,NA,0.714816926932094
571,299.204,0.712635690892873,0.643236110355248,"2015_yk_492","Yukon",2015,598.408,NA,0.714816926932094
572,299.728,0.714371581852667,0.638436646825724,"2015_yk_492","Yukon",2015,599.456,0.715067975776618,0.714816926932094
573,300.252,0.714552558815224,0.615501153822392,"2015_yk_492","Yukon",2015,600.504,0.715022369700295,0.714816926932094
574,300.776,0.71485800070076,0.62080230952301,"2015_yk_492","Yukon",2015,601.552,0.714986620892936,0.714816926932094
575,301.3,0.715625495695265,0.631530308735585,"2015_yk_492","Yukon",2015,602.6,0.714973356819664,0.714816926932094
576,301.824,0.714812272246599,0.61524636260057,"2015_yk_492","Yukon",2015,603.648,0.714969818602796,0.714816926932094
577,302.348,0.714231701634822,0.618164080485859,"2015_yk_492","Yukon",2015,604.696,0.714938531898068,0.714816926932094
578,302.872,0.715580754802399,0.631684410430034,"2015_yk_492","Yukon",2015,605.744,0.714933507512717,0.714816926932094
579,303.396,0.716183863167484,0.639662747402224,"2015_yk_492","Yukon",2015,606.792,0.714931158354211,0.714816926932094
580,303.92,0.713257769377797,0.62525483353264,"2015_yk_492","Yukon",2015,607.84,0.714919732882353,0.714816926932094
581,304.444,0.715656445274707,0.636644625728795,"2015_yk_492","Yukon",2015,608.888,0.714983520484684,0.714816926932094
582,304.968,0.7144242751602,0.651327266913185,"2015_yk_492","Yukon",2015,609.936,0.714968139268766,0.714816926932094
583,305.492,0.715148507225846,0.641303370682414,"2015_yk_492","Yukon",2015,610.984,0.714938848031666,0.714816926932094
584,306.016,0.71537569106612,0.610829582709678,"2015_yk_492","Yukon",2015,612.032,0.714906280868604,0.714816926932094
585,306.54,0.715656536051656,0.58891661098659,"2015_yk_492","Yukon",2015,613.08,0.714850499578473,0.714816926932094
586,307.064,0.714967063740518,0.571654191720747,"2015_yk_492","Yukon",2015,614.128,0.7148744718684,0.714816926932094
587,307.588,0.714944328438549,0.556924794053369,"2015_yk_492","Yukon",2015,615.176,0.714954062769861,0.714816926932094
588,308.112,0.716062762569704,0.557319631642997,"2015_yk_492","Yukon",2015,616.224,0.714959522172273,0.714816926932094
589,308.636,0.716738725565694,0.604891857354845,"2015_yk_492","Yukon",2015,617.272,0.714926736622277,0.714816926932094
