"Cycle","Sr88","Iso","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
19,0.266680824897166,0.710075829330396,9.956,19.912,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
20,0.849175111667283,0.70880365515192,10.48,20.96,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
21,1.05083654110053,0.709627445279138,11.004,22.008,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
22,1.09214069165879,0.709251526722114,11.528,23.056,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
23,1.08705518832775,0.708679551045616,12.052,24.104,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
24,1.10302200297691,0.709195167551385,12.576,25.152,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
25,1.09651584388725,0.710172584234235,13.1,26.2,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
26,1.12353724085447,0.707757487898516,13.624,27.248,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
27,1.14831584519246,0.70921467113629,14.148,28.296,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
28,1.11247332333643,0.708363544292316,14.672,29.344,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
29,1.18628694250241,0.707973509594672,15.196,30.392,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
30,1.23986660932284,0.708658981103193,15.72,31.44,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
31,1.17662078879821,0.708347185723115,16.244,32.488,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
32,1.23941627423107,0.7104117882409,16.768,33.536,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
33,1.2359357103969,0.708107380908249,17.292,34.584,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
34,1.17646127507939,0.708561883513111,17.816,35.632,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
35,1.2719301948663,0.708687365382343,18.34,36.68,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
36,1.2006565887753,0.708777684996602,18.864,37.728,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
37,1.17379965450201,0.708035391700495,19.388,38.776,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
38,1.24931670471879,0.709936765882507,19.912,39.824,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
39,1.1663973029817,0.708693302692726,20.436,40.872,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
40,1.14242841880536,0.70827160869637,20.96,41.92,"2015_nk_199_redo","Nush",2015,NA,NA,NA,143.925201319015,313.91273332324,897.088,0.708645519719255
