"Cycle","time","Iso","Sr88","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
1,0.524,0.705683,1.060956,0.524,1.048,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
2,1.048,0.704896,1.056625,1.048,2.096,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
3,1.572,0.705571,1.055708,1.572,3.144,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
4,2.096,0.704526,1.041384,2.096,4.192,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
5,2.62,0.703662,1.063272,2.62,5.24,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
6,3.144,0.704686,1.077381,3.144,6.288,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
7,3.668,0.704268,1.083191,3.668,7.336,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
8,4.192,0.706118,1.082772,4.192,8.384,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
9,4.716,0.703365,1.081452,4.716,9.432,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
10,5.24,0.705166,1.073922,5.24,10.48,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
11,5.764,0.704855,1.063305,5.764,11.528,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
12,6.288,0.703824,1.051138,6.288,12.576,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
13,6.812,0.70344,1.027355,6.812,13.624,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
14,7.336,0.703844,1.010399,7.336,14.672,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
15,7.86,0.702973,0.998872,7.86,15.72,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
16,8.384,0.704271,1.010889,8.384,16.768,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
17,8.908,0.703888,1.019274,8.908,17.816,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
18,9.432,0.70379,1.016265,9.432,18.864,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
19,9.956,0.703649,1.039473,9.956,19.912,"2011_nk_67","Nush",2011,NA,NA,NA,725.862737012335,855.703684603987,1432.616,0.704723346774194
