"Cycle","Time","Iso","Sr88","Fish_id","Watershed","Year","Microns","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
77,40.348,0.711380375324519,0.137723815370131,"2015_yk_454","Yukon",2015,80.696,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
78,40.872,0.708499175461278,0.87845278637827,"2015_yk_454","Yukon",2015,81.744,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
79,41.396,0.708930784489301,1.53300342450842,"2015_yk_454","Yukon",2015,82.792,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
80,41.92,0.708999523629054,1.74904718027579,"2015_yk_454","Yukon",2015,83.84,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
81,42.444,0.708804911964028,1.67215163826095,"2015_yk_454","Yukon",2015,84.888,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
82,42.968,0.708129942704363,1.56869914030994,"2015_yk_454","Yukon",2015,85.936,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
83,43.492,0.708154585855618,1.52509605991948,"2015_yk_454","Yukon",2015,86.984,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
84,44.016,0.70929422444853,1.4904090114512,"2015_yk_454","Yukon",2015,88.032,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
85,44.54,0.708553122227469,1.47011821006731,"2015_yk_454","Yukon",2015,89.08,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
86,45.064,0.709054441112708,1.48861543858609,"2015_yk_454","Yukon",2015,90.128,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
87,45.588,0.708680781072688,1.46273187042918,"2015_yk_454","Yukon",2015,91.176,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
88,46.112,0.709246309965981,1.47762257498385,"2015_yk_454","Yukon",2015,92.224,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
89,46.636,0.709097798415806,1.5186192836514,"2015_yk_454","Yukon",2015,93.272,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
90,47.16,0.709190462453828,1.55750528314878,"2015_yk_454","Yukon",2015,94.32,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
91,47.684,0.708569749481487,1.61767077251792,"2015_yk_454","Yukon",2015,95.368,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
92,48.208,0.709231488764172,1.61164286282708,"2015_yk_454","Yukon",2015,96.416,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
93,48.732,0.709336707725239,1.60319493398839,"2015_yk_454","Yukon",2015,97.464,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
94,49.256,0.708849360010556,1.62522464191934,"2015_yk_454","Yukon",2015,98.512,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
95,49.78,0.708350358605444,1.59406165395452,"2015_yk_454","Yukon",2015,99.56,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
96,50.304,0.708160050575113,1.53986422993396,"2015_yk_454","Yukon",2015,100.608,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
97,50.828,0.7093462194744,1.52962948707601,"2015_yk_454","Yukon",2015,101.656,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
98,51.352,0.70977500823581,1.53741582679294,"2015_yk_454","Yukon",2015,102.704,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
99,51.876,0.709186899977852,1.50172299405787,"2015_yk_454","Yukon",2015,103.752,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
100,52.4,0.709566086709388,1.46859392647991,"2015_yk_454","Yukon",2015,104.8,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
101,52.924,0.709004363506251,1.46565314180291,"2015_yk_454","Yukon",2015,105.848,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
102,53.448,0.708394045658456,1.51451198958343,"2015_yk_454","Yukon",2015,106.896,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
103,53.972,0.710247032080894,1.49895175022892,"2015_yk_454","Yukon",2015,107.944,NA,NA,NA,458.589527797602,681.020891871181,1056.384,0.707559581681119
