"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
402,210.648,0.709330182630522,0.138986077687393,421.296,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
403,211.172,0.709396927154916,0.262253029048942,422.344,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
404,211.696,0.710647697398423,0.342913480420486,423.392,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
405,212.22,0.708725927272713,0.390321160442807,424.44,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
406,212.744,0.709826036160063,0.512227219001541,425.488,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
407,213.268,0.709468991383759,0.639629794382245,426.536,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
408,213.792,0.709540745921541,0.713945220612714,427.584,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
409,214.316,0.708610447177218,0.727544790805219,428.632,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
410,214.84,0.709976071485042,0.732572554339354,429.68,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
411,215.364,0.710469435217778,0.755410449406705,430.728,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
412,215.888,0.708621229218731,0.778626709354548,431.776,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
413,216.412,0.709373735729111,0.769500235474147,432.824,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
414,216.936,0.708852291725522,0.748288415929508,433.872,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
415,217.46,0.710019068101175,0.737942931192623,434.92,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
416,217.984,0.70955095612373,0.741984278586686,435.968,"2019_kk_268_left","Kusko",2019,NA,NA,NA,1653.578184,1856.542956,2279.4,0.706323734
