"Cycle","time","Iso","Sr88","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
1,0.524,0.708675,0.875863,0.524,1.048,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
2,1.048,0.708692,1.159675,1.048,2.096,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
3,1.572,0.709545,1.192737,1.572,3.144,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
4,2.096,0.709494,1.226773,2.096,4.192,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
5,2.62,0.708868,1.281827,2.62,5.24,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
6,3.144,0.708936,1.234568,3.144,6.288,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
7,3.668,0.709707,1.215352,3.668,7.336,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
8,4.192,0.712422,1.237712,4.192,8.384,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
9,4.716,0.709286,1.201241,4.716,9.432,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
10,5.24,0.709718,1.238839,5.24,10.48,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
11,5.764,0.708864,1.228846,5.764,11.528,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
12,6.288,0.709572,1.241407,6.288,12.576,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
13,6.812,0.708999,1.277958,6.812,13.624,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
14,7.336,0.709669,1.324611,7.336,14.672,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
15,7.86,0.708237,1.323312,7.86,15.72,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
16,8.384,0.709226,1.2701,8.384,16.768,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
17,8.908,0.708957,1.222297,8.908,17.816,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
18,9.432,0.708732,1.228673,9.432,18.864,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
19,9.956,0.710703,1.168285,9.956,19.912,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
20,10.48,0.708916,1.226529,10.48,20.96,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
21,11.004,0.709554,1.237954,11.004,22.008,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
22,11.528,0.708905,1.271581,11.528,23.056,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
23,12.052,0.708981,1.286141,12.052,24.104,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
24,12.576,0.709805,1.313658,12.576,25.152,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
25,13.1,0.708701,1.315204,13.1,26.2,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
26,13.624,0.708768,1.271158,13.624,27.248,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
27,14.148,0.708348,1.242677,14.148,28.296,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
28,14.672,0.708778,1.269809,14.672,29.344,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
29,15.196,0.708703,1.226932,15.196,30.392,"2011_nk_81","Nush",2011,NA,NA,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
30,15.72,0.709535,1.272457,15.72,31.44,"2011_nk_81","Nush",2011,0.709267233333334,1.2744939,NA,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
31,16.244,0.709229,1.377245,16.244,32.488,"2011_nk_81","Nush",2011,0.709275316666667,1.28233228333333,0.00783838333333331,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
32,16.768,0.708932,1.366079,16.768,33.536,"2011_nk_81","Nush",2011,0.709272533333334,1.28630238333333,0.00397010000000009,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
33,17.292,0.708065,1.354298,17.292,34.584,"2011_nk_81","Nush",2011,0.709285983333334,1.2887229,0.00242051666666665,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
34,17.816,0.710533,1.339191,17.816,35.632,"2011_nk_81","Nush",2011,0.709291566666667,1.2900537,0.00133080000000008,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
35,18.34,0.709009,1.373095,18.34,36.68,"2011_nk_81","Nush",2011,0.70929205,1.28930435,-0.000749349999999982,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
36,18.864,0.70869,1.28149,18.864,37.728,"2011_nk_81","Nush",2011,0.709297183333333,1.2899716,0.000667250000000008,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
37,19.388,0.708478,1.219256,19.388,38.776,"2011_nk_81","Nush",2011,0.709285316666667,1.29019616666667,0.000224566666666703,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
38,19.912,0.709364,1.281734,19.912,39.824,"2011_nk_81","Nush",2011,0.70922725,1.29043495,0.00023878333333327,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
39,20.436,0.708993,1.376879,20.436,40.872,"2011_nk_81","Nush",2011,0.70924915,1.29204351666667,0.00160856666666653,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
40,20.96,0.708874,1.387935,20.96,41.92,"2011_nk_81","Nush",2011,0.70922885,1.29400866666667,0.00196514999999997,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
41,21.484,0.709442,1.437188,21.484,42.968,"2011_nk_81","Nush",2011,0.70923065,1.29513808333333,0.00112941666666666,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
42,22.008,0.708877,1.441558,22.008,44.016,"2011_nk_81","Nush",2011,0.709215033333333,1.29518461666667,4.65333333332651e-05,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
43,22.532,0.709049,1.34216,22.532,45.064,"2011_nk_81","Nush",2011,0.709213366666667,1.29469386666667,-0.000490749999999984,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
44,23.056,0.709834,1.288881,23.056,46.112,"2011_nk_81","Nush",2011,0.709201883333333,1.29344148333333,-0.00125238333333333,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
45,23.58,0.709288,1.266815,23.58,47.16,"2011_nk_81","Nush",2011,0.709204983333333,1.29266815,-0.000773333333333293,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
46,24.104,0.710362,1.282998,24.104,48.208,"2011_nk_81","Nush",2011,0.709214283333333,1.29272041666667,5.22666666666893e-05,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
47,24.628,0.709009,1.23275,24.628,49.256,"2011_nk_81","Nush",2011,0.7092235,1.29293561666667,0.000215199999999971,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
48,25.152,0.709895,1.245499,25.152,50.304,"2011_nk_81","Nush",2011,0.7092441,1.29250883333333,-0.000426783333333347,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
49,25.676,0.709919,1.322456,25.676,51.352,"2011_nk_81","Nush",2011,0.70922025,1.29307338333333,0.000564549999999997,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
50,26.2,0.709111,1.311209,26.2,52.4,"2011_nk_81","Nush",2011,0.70921815,1.29205573333333,-0.00101764999999987,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
51,26.724,0.708776,1.445517,26.724,53.448,"2011_nk_81","Nush",2011,0.7092183,1.29133891666667,-0.000716816666666675,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
52,27.248,0.708944,1.456621,27.248,54.496,"2011_nk_81","Nush",2011,0.709209616666667,1.29286493333333,0.00152601666666663,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
53,27.772,0.710243,1.318968,27.772,55.544,"2011_nk_81","Nush",2011,0.709223416666667,1.2955249,0.00265996666666668,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
54,28.296,0.709263,1.224041,28.296,56.592,"2011_nk_81","Nush",2011,0.7092164,1.30025263333333,0.00472773333333332,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
55,28.82,0.71012,1.239757,28.82,57.64,"2011_nk_81","Nush",2011,0.709225183333333,1.3068707,0.00661806666666687,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
56,29.344,0.710077,1.241432,29.344,58.688,"2011_nk_81","Nush",2011,0.7092326,1.3148065,0.00793579999999983,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
57,29.868,0.709016,1.227048,29.868,59.736,"2011_nk_81","Nush",2011,0.709264433333333,1.32686663333333,0.0120601333333334,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
58,30.392,0.709838,1.180569,30.392,60.784,"2011_nk_81","Nush",2011,0.709275333333333,1.33801053333333,0.0111439,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
59,30.916,0.707963,1.246426,30.916,61.832,"2011_nk_81","Nush",2011,0.70927995,1.34837068333333,0.0103601499999999,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
60,31.44,0.709545,1.276363,31.44,62.88,"2011_nk_81","Nush",2011,0.709275483333333,1.35860586666667,0.0102351833333334,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
61,31.964,0.70916,1.346166,31.964,63.928,"2011_nk_81","Nush",2011,0.709268433333333,1.36878351666667,0.0101776499999999,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
62,32.488,0.708525,1.397881,32.488,64.976,"2011_nk_81","Nush",2011,0.709280683333333,1.38184858333333,0.0130650666666667,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
63,33.012,0.710352,1.337968,33.012,66.024,"2011_nk_81","Nush",2011,0.709290183333333,1.39518156666667,0.0133329833333333,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
64,33.536,0.709829,1.306621,33.536,67.072,"2011_nk_81","Nush",2011,0.709270966666667,1.40971253333333,0.0145309666666666,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
65,34.06,0.708897,1.236866,34.06,68.12,"2011_nk_81","Nush",2011,0.709269483333333,1.42063066666667,0.0109181333333335,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
66,34.584,0.709244,1.274603,34.584,69.168,"2011_nk_81","Nush",2011,0.70928535,1.4335964,0.0129657333333333,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
67,35.108,0.708995,1.228826,35.108,70.216,"2011_nk_81","Nush",2011,0.709280166666666,1.4418291,0.00823269999999998,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
68,35.632,0.708938,1.252039,35.632,71.264,"2011_nk_81","Nush",2011,0.7092861,1.44710438333333,0.00527528333333338,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
69,36.156,0.7106,1.297755,36.156,72.312,"2011_nk_81","Nush",2011,0.709286416666666,1.45048263333333,0.00337825000000014,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
70,36.68,0.7085,1.356748,36.68,73.36,"2011_nk_81","Nush",2011,0.709282983333333,1.45318066666667,0.00269803333333352,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
71,37.204,0.708972,1.296611,37.204,74.408,"2011_nk_81","Nush",2011,0.709268633333333,1.45399136666667,0.000810699999999942,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
72,37.728,0.708635,1.244199,37.728,75.456,"2011_nk_81","Nush",2011,0.709267033333333,1.45459393333333,0.000602566666666693,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
73,38.252,0.708899,1.248513,38.252,76.504,"2011_nk_81","Nush",2011,0.709267666666667,1.45611658333333,0.00152264999999985,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
74,38.776,0.70898,1.249468,38.776,77.552,"2011_nk_81","Nush",2011,0.709255233333333,1.45993946666667,0.00382288333333336,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
75,39.3,0.708423,1.276912,39.3,78.6,"2011_nk_81","Nush",2011,0.709263616666666,1.46410975,0.00417028333333347,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
76,39.824,0.709784,1.273236,39.824,79.648,"2011_nk_81","Nush",2011,0.709238733333333,1.467494,0.00338425000000009,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
77,40.348,0.70951,1.235209,40.348,80.696,"2011_nk_81","Nush",2011,0.709258383333333,1.47156003333333,0.00406603333333311,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
78,40.872,0.709968,1.203066,40.872,81.744,"2011_nk_81","Nush",2011,0.709252366666666,1.47569191666667,0.00413188333333347,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
79,41.396,0.709272,1.202158,41.396,82.792,"2011_nk_81","Nush",2011,0.709233166666667,1.4785537,0.00286178333333309,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
80,41.92,0.70879,1.16547,41.92,83.84,"2011_nk_81","Nush",2011,0.709239683333333,1.48279081666667,0.00423711666666682,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
81,42.444,0.709563,1.194945,42.444,84.888,"2011_nk_81","Nush",2011,0.70924795,1.48610046666667,0.00330964999999983,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
82,42.968,0.708384,1.363142,42.968,85.936,"2011_nk_81","Nush",2011,0.709261716666667,1.48747045,0.00136998333333338,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
83,43.492,0.709809,1.445739,43.492,86.984,"2011_nk_81","Nush",2011,0.709247716666667,1.48994631666667,0.00247586666666666,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
84,44.016,0.709384,1.597322,44.016,88.032,"2011_nk_81","Nush",2011,0.709245083333333,1.49387446666667,0.00392814999999991,1323.54105835693,1408.65791027013,1774.264,0.707733463414634
